Date,Ticker,ShortName,RedCode,Tier,Ccy,DocClause,Contributor,Spread6m,Spread1y,Spread2y,Spread3y,Spread4y,Spread5y,Spread7y,Spread10y,Spread15y,Spread20y,Spread30y,Recovery,Rating6m,Rating1y,Rating2y,Rating3y,Rating4y,Rating5y,Rating7y,Rating10y,Rating15y,Rating20y,Rating30y,CompositeCurveRating,CompositeDepth5y,Sector,Region,Country,AvRating,ImpliedRating,CompositeLevel6m,CompositeLevel1y,CompositeLevel2y,CompositeLevel3y,CompositeLevel4y,CompositeLevel5y,CompositeLevel7y,CompositeLevel10y,CompositeLevel15y,CompositeLevel20y,CompositeLevel30y,CompositeLevelRecovery
25-Jun-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.54%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
26-Jun-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.54%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
27-Jun-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.54%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
28-Jun-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.54%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
29-Jun-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
2-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
3-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
4-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
5-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
6-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
9-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
10-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
11-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
12-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
13-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
16-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
17-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
18-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
19-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
20-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
23-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
24-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
25-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.14%,,0.17%,,0.15%,0.19%,0.25%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,3,Consumer Goods,N.Amer,United States,,,,Thin,,Thin,,DocAdj,Thin,Thin,,,,
26-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.15%,,0.15%,0.18%,0.24%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,DocAdj,,,,
27-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.15%,,0.15%,0.18%,0.24%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,Thin,,DocAdj,DocAdj,DocAdj,,,,
30-Jul-01,CL,Colgate Palmolive Co,1AD578,SNRFOR,USD,XR14,Composite,,0.12%,,0.12%,,0.15%,0.16%,0.22%,,,,,,NR,,NR,,NR,NR,NR,,,,NR,4,Consumer Goods,N.Amer,United States,,,,DocAdj,,DocAdj,,DocAdj,DocAdj,DocAdj,,,,
